vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Tata Punch,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,8,4,6
Maruti Suzuki Wagon R,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,19,5,1
Hyundai i20,NO CONTROLS,RAIN,DARKNESS,FOUR WAY,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,4,6,6
Kia Sonet,NO CONTROLS,SLEET/HAIL,DAYLIGHT,Y-INTERSECTION,WET,NO DEFECTS,15,6,6
Maruti Suzuki Wagon R,NO CONTROLS,OTHER,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,8,1,9
Maruti Suzuki Brezza,STOP SIGN/FLASHER,OTHER,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",3,1,8
Mahindra Scorpio,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAWN,NOT REPORTED,DRY,OTHER,14,5,11
Hyundai Creta,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,14,6,7
Maruti Suzuki Brezza,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,17,6,2
Toyota Fortuner,NO CONTROLS,RAIN,DAWN,NOT DIVIDED,WET,"RUT, HOLES",18,2,9
Hyundai Venue,STOP SIGN/FLASHER,OTHER,DUSK,Y-INTERSECTION,DRY,SHOULDER DEFECT,18,7,9
Honda City,STOP SIGN/FLASHER,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,WORN SURFACE,12,2,8
Hyundai Verna,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,16,2,10
Toyota Innova,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAWN,NOT DIVIDED,WET,"RUT, HOLES",15,2,7
Mahindra XUV700,UNKNOWN,RAIN,DAYLIGHT,TRAFFIC ROUTE,WET,NO DEFECTS,13,1,7
Mahindra Scorpio,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,11,6,7
Kia Seltos,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,20,1,1
Tata Nexon,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,UNKNOWN,8,4,2
Hyundai Verna,OTHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,21,1,1
Maruti Suzuki Swift,LANE USE MARKING,RAIN,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,2,1,8
Honda City,TRAFFIC SIGNAL,RAIN,DAYLIGHT,T-INTERSECTION,WET,DEBRIS ON ROADWAY,10,7,6
Tata Punch,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,Y-INTERSECTION,WET,NO DEFECTS,9,6,7
Skoda Slavia,OTHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",13,4,11
Maruti Suzuki Swift,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,6,4,4
Mahindra Scorpio,STOP SIGN/FLASHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,20,7,6
Mahindra XUV700,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,"RUT, HOLES",19,6,9
Tata Nexon,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,OTHER,WORN SURFACE,17,6,4
Toyota Innova,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,OTHER,13,5,1
Honda Amaze,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,21,5,5
Honda City,YIELD,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,19,4,3
Volkswagen Virtus,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",9,5,12
Kia Seltos,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,17,5,10
Nissan Magnite,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,15,7,8
Hyundai Verna,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,16,2,11
Volkswagen Virtus,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,"RUT, HOLES",10,2,10
Mahindra Scorpio,PEDESTRIAN CROSSING SIGN,CLEAR,DAYLIGHT,OTHER,UNKNOWN,DEBRIS ON ROADWAY,13,2,3
Skoda Slavia,UNKNOWN,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,4,5,11
Maruti Suzuki Swift,NO CONTROLS,RAIN,DAYLIGHT,FOUR WAY,OTHER,NO DEFECTS,11,6,8
Maruti Suzuki Swift,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,17,2,10
Renault Kiger,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,21,6,11
Toyota Fortuner,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,22,5,6
Tata Nexon,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,15,3,2
Tata Harrier,NO CONTROLS,RAIN,DUSK,NOT DIVIDED,OTHER,NO DEFECTS,16,2,4
Volkswagen Virtus,NO CONTROLS,SLEET/HAIL,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,7,7,7
Tata Altroz,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,17,5,10
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,DARKNESS,T-INTERSECTION,DRY,SHOULDER DEFECT,3,6,11
Kia Seltos,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,DEBRIS ON ROADWAY,9,7,1
Hyundai i20,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,"RUT, HOLES",17,2,7
Kia Seltos,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",10,3,7
Kia Seltos,STOP SIGN/FLASHER,UNKNOWN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,2,4,4
Maruti Suzuki Brezza,TRAFFIC SIGNAL,CLEAR,DAWN,PARKING LOT,OTHER,WORN SURFACE,19,2,2
Kia Seltos,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",7,7,6
Volkswagen Virtus,NO CONTROLS,FOG/SMOKE/HAZE,DAWN,NOT DIVIDED,UNKNOWN,NO DEFECTS,5,1,12
Tata Altroz,NO PASSING,RAIN,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,4,2,6
Hyundai Creta,STOP SIGN/FLASHER,RAIN,DAWN,ONE-WAY,WET,NO DEFECTS,9,2,7
Maruti Suzuki Baleno,NO CONTROLS,RAIN,DAWN,NOT DIVIDED,DRY,NO DEFECTS,7,7,9
Maruti Suzuki Wagon R,YIELD,RAIN,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,WET,"RUT, HOLES",18,5,6
Hyundai Verna,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,CENTER TURN LANE,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,10,6,12
Mahindra Scorpio,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,WORN SURFACE,18,1,12
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,OTHER,"RUT, HOLES",7,2,5
Hyundai Creta,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,UNKNOWN,NO DEFECTS,14,6,7
Nissan Magnite,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,17,5,5
Volkswagen Virtus,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",17,1,5
Mahindra Scorpio,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,12,5,1
Hyundai Verna,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,21,4,8
Toyota Innova,UNKNOWN,RAIN,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT","RUT, HOLES",8,2,7
Mahindra Scorpio,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,9,5,1
Tata Nexon,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,20,2,5
Skoda Slavia,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,4,6,11
Renault Kiger,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,2,5,4
Honda City,NO CONTROLS,CLEAR,DAYLIGHT,Y-INTERSECTION,DRY,"RUT, HOLES",8,7,2
Hyundai Verna,NO CONTROLS,RAIN,DAYLIGHT,UNKNOWN,WET,NO DEFECTS,16,4,7
Toyota Fortuner,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,OTHER,NO DEFECTS,9,4,12
Toyota Innova,STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,6,4
Mahindra Thar,UNKNOWN,RAIN,DAYLIGHT,OTHER,"SAND, MUD, DIRT",NO DEFECTS,13,5,9
Maruti Suzuki Brezza,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,16,5,9
Volkswagen Virtus,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,9,5,4
Mahindra Scorpio,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,10,4,9
Honda Amaze,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",16,6,6
Toyota Innova,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,OTHER,NO DEFECTS,22,4,8
Toyota Fortuner,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",17,7,8
Mahindra Scorpio,YIELD,CLEAR,DAYLIGHT,PARKING LOT,DRY,NO DEFECTS,18,6,7
Hyundai Creta,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,"SAND, MUD, DIRT",UNKNOWN,11,6,1
Renault Kiger,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,UNKNOWN,OTHER,9,7,10
Mahindra Thar,NO CONTROLS,RAIN,DUSK,NOT DIVIDED,WET,"RUT, HOLES",13,5,6
Hyundai Venue,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,19,6,3
Mahindra XUV700,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",13,2,1
Toyota Innova,OTHER WARNING SIGN,OTHER,DARKNESS,T-INTERSECTION,DRY,OTHER,19,1,8
Nissan Magnite,TRAFFIC SIGNAL,UNKNOWN,DUSK,TRAFFIC ROUTE,DRY,"RUT, HOLES",23,6,9
Volkswagen Virtus,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAWN,OTHER,OTHER,NO DEFECTS,5,3,1
Mahindra Scorpio,TRAFFIC SIGNAL,CLEAR,DARKNESS,ALLEY,DRY,NO DEFECTS,1,5,7
Hyundai Venue,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,1,4
Maruti Suzuki Baleno,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",12,7,8
Maruti Suzuki Swift,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,6,4,3
Kia Sonet,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",20,1,9
Nissan Magnite,YIELD,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",ONE-WAY,WET,NO DEFECTS,0,4,6
Maruti Suzuki Swift,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ALLEY,DRY,DEBRIS ON ROADWAY,10,6,12
Skoda Slavia,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",7,7,2
Kia Seltos,TRAFFIC SIGNAL,RAIN,DARKNESS,Y-INTERSECTION,WET,"RUT, HOLES",21,4,6
Toyota Innova,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",15,1,2
Tata Harrier,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,T-INTERSECTION,DRY,DEBRIS ON ROADWAY,20,7,12
Honda City,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,22,7,11
Skoda Slavia,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,14,1,5
Nissan Magnite,TRAFFIC SIGNAL,RAIN,DAYLIGHT,ONE-WAY,UNKNOWN,WORN SURFACE,8,1,8
Mahindra Scorpio,YIELD,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,8,5,10
Hyundai Venue,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",8,5,8
Maruti Suzuki Brezza,NO CONTROLS,RAIN,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,17,5,7
Tata Nexon,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,1,3,4
Mahindra Scorpio,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,OTHER,DRY,NO DEFECTS,5,1,1
Skoda Slavia,OTHER REG. SIGN,FOG/SMOKE/HAZE,DAYLIGHT,OTHER,DRY,DEBRIS ON ROADWAY,12,5,11
Hyundai i20,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,16,2,11
Maruti Suzuki Swift,LANE USE MARKING,UNKNOWN,DUSK,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",17,3,8
Honda City,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,UNKNOWN,WORN SURFACE,12,5,6
Mahindra Thar,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,19,2,6
